17:28:23 - Sep 05, 2023
Raw P0	raw P1	raw P2	calc P1	calc P2	Curr.Div.	Av.Div.	PWM	Used Div.
 
10151	17336	18045	2037	1835	4035	4033	388	4033
10150	17336	18045	2039	1836	4048	4034	388	4034
10151	17337	18046	2038	1836	4033	4037	388	4037
10152	17337	18046	2037	1835	4035	4036	388	4036
10152	17337	18046	2037	1835	4035	4036	388	4036
10152	17337	18047	2037	1836	4019	4036	388	4036
10150	17336	18046	2039	1837	4032	4032	388	4032
10152	17338	18046	2038	1835	4050	4032	388	4032
10151	17336	18046	2037	1836	4019	4036	388	4036
10152	17337	18046	2037	1835	4035	4032	388	4032
10152	17338	18047	2038	1836	4033	4033	388	4033
10152	17337	18046	2037	1835	4035	4031	388	4031
10152	17337	18045	2037	1834	4051	4032	388	4032
10152	17338	18047	2038	1836	4033	4037	388	4037
10152	17339	18049	2039	1838	4015	4036	388	4036
10153	17338	18046	2036	1834	4037	4030	388	4030
10151	17336	18045	2037	1835	4035	4032	388	4032
10151	17336	18046	2037	1836	4019	4033	388	4033
10152	17337	18046	2037	1835	4035	4029	388	4029
10151	17336	18046	2037	1836	4019	4031	388	4031
10151	17337	18046	2038	1836	4033	4028	388	4028
10152	17337	18046	2037	1835	4035	4029	388	4029
10151	17337	18046	2038	1836	4033	4031	388	4031
10151	17337	18046	2038	1836	4033	4031	388	4031
10153	17339	18047	2037	1835	4035	4032	388	4032
10151	17337	18046	2038	1836	4033	4032	388	4032
10152	17338	18046	2038	1835	4050	4033	388	4033
10152	17337	18046	2037	1835	4035	4037	387	4037
10152	17337	18046	2037	1835	4035	4036	388	4036
10152	17337	18046	2037	1835	4035	4036	388	4036
10151	17336	18045	2037	1835	4035	4036	388	4036
10150	17336	18046	2039	1837	4032	4036	388	4036
10151	17336	18046	2037	1836	4019	4035	388	4035
10152	17337	18046	2037	1835	4035	4031	388	4031
10152	17338	18048	2038	1837	4017	4032	388	4032
10152	17337	18046	2037	1835	4035	4028	388	4028
10151	17337	18046	2038	1836	4033	4030	388	4030
10152	17337	18046	2037	1835	4035	4030	388	4030
10154	17338	18046	2035	1833	4038	4032	388	4032
10152	17337	18046	2037	1835	4035	4033	388	4033
10152	17337	18046	2037	1835	4035	4034	388	4034
10151	17337	18046	2038	1836	4033	4034	388	4034
10152	17337	18046	2037	1835	4035	4034	388	4034
10151	17337	18046	2038	1836	4033	4034	388	4034
10151	17337	18046	2038	1836	4033	4034	388	4034
10152	17337	18046	2037	1835	4035	4033	388	4033
10152	17337	18046	2037	1835	4035	4034	388	4034
10151	17336	18046	2037	1836	4019	4034	388	4034
10152	17337	18046	2037	1835	4035	4030	388	4030
10151	17337	18046	2038	1836	4033	4032	388	4032
10151	17336	18046	2037	1836	4019	4032	388	4032
10151	17337	18046	2038	1836	4033	4029	388	4029
10152	17337	18046	2037	1835	4035	4030	388	4030
10151	17337	18046	2038	1836	4033	4031	388	4031
10151	17336	18046	2037	1836	4019	4031	388	4031
10153	17337	18045	2035	1833	4038	4028	388	4028
10151	17337	18046	2038	1836	4033	4031	388	4031
10151	17337	18046	2038	1836	4033	4031	388	4031
10152	17337	18046	2037	1835	4035	4032	388	4032
10152	17337	18046	2037	1835	4035	4033	388	4033
10151	17336	18045	2037	1835	4035	4033	388	4033
10152	17337	18046	2037	1835	4035	4034	388	4034
10152	17337	18045	2037	1834	4051	4034	388	4034
10151	17337	18046	2038	1836	4033	4038	388	4038
10153	17338	18046	2036	1834	4037	4037	387	4037
10152	17337	18046	2037	1835	4035	4037	387	4037
10152	17337	18047	2037	1836	4019	4036	388	4036
10151	17336	18046	2037	1836	4019	4032	388	4032
10151	17336	18046	2037	1836	4019	4029	388	4029
10151	17337	18046	2038	1836	4033	4026	389	4026
10152	17337	18046	2037	1835	4035	4028	388	4028
10152	17337	18046	2037	1835	4035	4030	388	4030
10151	17337	18046	2038	1836	4033	4031	388	4031
10152	17336	18045	2036	1834	4037	4032	388	4032
10151	17337	18047	2038	1837	4017	4033	388	4033
10152	17337	18047	2037	1836	4019	4029	388	4029
10152	17337	18046	2037	1835	4035	4026	388	4026
10152	17337	18046	2037	1835	4035	4029	388	4029
10152	17337	18046	2037	1835	4035	4030	388	4030
10151	17337	18046	2038	1836	4033	4031	388	4031
10151	17337	18047	2038	1837	4017	4032	388	4032
10152	17337	18047	2037	1836	4019	4028	388	4028
10151	17337	18046	2038	1836	4033	4026	389	4026
10151	17336	18046	2037	1836	4019	4028	388	4028
10151	17336	18046	2037	1836	4019	4025	388	4025
10152	17337	18047	2037	1836	4019	4024	389	4024
10152	17337	18046	2037	1835	4035	4023	389	4023
10152	17337	18046	2037	1835	4035	4026	388	4026
10151	17336	18046	2037	1836	4019	4028	388	4028
10151	17337	18047	2038	1837	4017	4026	389	4026
10152	17338	18047	2038	1836	4033	4023	389	4023
10151	17337	18046	2038	1836	4033	4026	389	4026
10152	17337	18046	2037	1835	4035	4028	388	4028
10152	17338	18047	2038	1836	4033	4029	388	4029
10152	17337	18047	2037	1836	4019	4030	388	4030
10152	17338	18047	2038	1836	4033	4028	388	4028
10151	17337	18047	2038	1837	4017	4029	388	4029
10150	17336	18045	2039	1836	4048	4026	389	4026
10152	17338	18046	2038	1835	4050	4031	388	4031
10152	17336	18044	2036	1833	4053	4036	387	4036
10150	17335	18045	2038	1836	4033	4040	387	4040
10151	17336	18046	2037	1836	4019	4039	387	4039
10152	17337	18045	2037	1834	4051	4034	388	4034
10151	17336	18046	2037	1836	4019	4038	387	4038
10151	17336	18046	2037	1836	4019	4033	388	4033
