17:42:44 - Sep 05, 2023
Raw P0	raw P1	raw P2	calc P1	calc P2	Curr.Div.	Av.Div.	PWM	Used Div.
 
10152	17338	18046	2038	1835	4050	4038	388	4038
10152	17337	18046	2037	1835	4035	4041	387	4041
10152	17337	18045	2037	1834	4051	4040	387	4040
10152	17336	18045	2036	1834	4037	4042	387	4042
10150	17336	18046	2039	1837	4032	4041	387	4041
10154	17341	18050	2038	1837	4017	4039	387	4039
10154	17340	18047	2037	1834	4051	4033	388	4033
10152	17338	18045	2038	1834	4066	4038	388	4038
10149	17336	18046	2040	1838	4030	4045	387	4045
10152	17338	18047	2038	1836	4033	4041	387	4041
10153	17338	18047	2036	1835	4020	4039	387	4039
10152	17337	18045	2037	1834	4051	4034	388	4034
10150	17336	18045	2039	1836	4048	4039	388	4039
10151	17337	18046	2038	1836	4033	4041	387	4041
10151	17332	18042	2033	1832	4025	4039	387	4039
10151	17321	18034	2022	1824	3994	4035	385	4035
10151	17305	18022	2006	1812	3954	4025	383	4025
10151	17292	18010	1993	1800	3958	4007	383	4007
10151	17277	17999	1978	1789	3916	3995	381	3995
10152	17265	17987	1965	1776	3936	3975	381	3975
10152	17250	17973	1950	1762	3944	3966	379	3966
10151	17234	17964	1935	1754	3850	3960	377	3960
10150	17221	17948	1924	1739	3936	3933	377	3933
10151	17204	17933	1905	1723	3915	3933	374	3933
10152	17188	17916	1888	1705	3961	3929	371	3929
10151	17169	17899	1870	1689	3956	3937	368	3937
10152	17151	17883	1851	1672	3954	3942	364	3942
10151	17136	17870	1837	1660	3942	3945	361	3945
10152	17121	17854	1821	1643	3988	3944	359	3944
10152	17105	17839	1805	1628	3998	3955	355	3955
10151	17088	17824	1789	1614	3990	3966	352	3966
10152	17073	17810	1773	1599	4001	3972	349	3972
10152	17057	17796	1757	1585	3993	3979	345	3979
10152	17042	17782	1742	1571	4002	3982	342	3982
10151	17027	17769	1728	1559	3990	3987	340	3987
10152	17013	17755	1713	1544	4018	3988	337	3988
10152	17000	17742	1700	1531	4043	3996	334	3996
10151	16987	17731	1688	1521	4027	4007	332	4007
10151	16976	17721	1677	1511	4029	4012	330	4012
10151	16965	17711	1666	1501	4031	4017	327	4017
10151	16955	17703	1656	1493	4011	4020	325	4020
10151	16947	17696	1648	1486	4006	4018	324	4018
10152	16938	17687	1638	1476	4026	4015	323	4015
10151	16931	17681	1632	1471	4018	4018	322	4018
10150	16925	17675	1628	1466	4046	4018	321	4018
10151	16920	17670	1621	1460	4040	4025	319	4025
10152	16917	17667	1617	1456	4048	4028	318	4028
10151	16913	17664	1614	1454	4034	4033	318	4033
10151	16912	17662	1613	1452	4056	4034	317	4034
10151	16911	17661	1612	1451	4058	4039	317	4039
10152	16910	17660	1610	1449	4063	4044	316	4044
10151	16907	17658	1608	1448	4046	4049	315	4049
10152	16903	17654	1603	1443	4056	4048	315	4048
10151	16894	17647	1595	1437	4031	4050	313	4050
10151	16886	17640	1587	1430	4027	4045	312	4045
10152	16878	17633	1578	1422	4025	4041	311	4041
10151	16870	17625	1571	1415	4039	4037	310	4037
