17:09:16 - Sep 05, 2023
Raw P0	raw P1	raw P2	calc P1	calc P2	Curr.Div.	Av.Div.	PWM	Used Div.
 
10152	17972	18619	2672	2408	4023	4012	496	4012
10152	17972	18619	2672	2408	4023	4014	495	4014
10153	17973	18620	2671	2408	4012	4017	495	4017
10153	17971	18619	2669	2407	4002	4015	495	4015
10153	17972	18619	2670	2407	4013	4015	495	4015
10153	17972	18619	2670	2407	4013	4014	495	4014
10152	17971	18618	2671	2407	4024	4014	495	4014
10152	17971	18619	2671	2408	4012	4016	495	4016
10153	17972	18619	2670	2407	4013	4015	495	4015
10154	17972	18619	2669	2406	4014	4015	495	4015
10152	17971	18618	2671	2407	4024	4015	495	4015
10151	17971	18619	2672	2409	4011	4017	495	4017
10153	17973	18620	2671	2408	4012	4015	495	4015
10154	17973	18619	2670	2406	4025	4015	495	4015
10152	17971	18618	2671	2407	4024	4017	495	4017
10152	17971	18619	2671	2408	4012	4019	495	4019
10153	17972	18619	2670	2407	4013	4017	495	4017
10153	17972	18619	2670	2407	4013	4016	495	4016
10152	17971	18618	2671	2407	4024	4015	495	4015
10153	17972	18619	2670	2407	4013	4018	495	4018
10154	17974	18621	2671	2408	4012	4016	495	4016
10154	17973	18621	2670	2408	4001	4015	495	4015
10152	17971	18620	2671	2409	3999	4012	495	4012
10151	17971	18620	2672	2410	3998	4009	496	4009
10152	17971	18619	2671	2408	4012	4006	496	4006
10152	17971	18619	2671	2408	4012	4007	496	4007
10152	17971	18618	2671	2407	4024	4009	496	4009
10152	17971	18619	2671	2408	4012	4012	495	4012
10153	17972	18619	2670	2407	4013	4012	495	4012
10153	17972	18619	2670	2407	4013	4013	495	4013
10153	17972	18619	2670	2407	4013	4013	495	4013
10153	17971	18619	2669	2407	4002	4013	495	4013
10153	17972	18619	2670	2407	4013	4010	496	4010
10153	17972	18619	2670	2407	4013	4011	495	4011
10152	17971	18619	2671	2408	4012	4011	496	4011
10152	17971	18619	2671	2408	4012	4011	496	4011
10154	17972	18619	2669	2406	4014	4012	495	4012
10153	17972	18620	2670	2408	4001	4012	495	4012
10153	17972	18619	2670	2407	4013	4009	496	4009
10153	17972	18620	2670	2408	4001	4010	496	4010
10154	17973	18620	2670	2407	4013	4008	496	4008
10152	17971	18619	2671	2408	4012	4009	496	4009
10152	17971	18620	2671	2409	3999	4010	496	4010
10152	17972	18619	2672	2408	4023	4007	496	4007
10152	17972	18621	2672	2410	3998	4011	496	4011
10153	17972	18619	2670	2407	4013	4008	496	4008
10153	17972	18618	2670	2406	4025	4009	496	4009
10152	17970	18618	2670	2407	4013	4013	495	4013
10152	17971	18620	2671	2409	3999	4013	495	4013
10154	17973	18620	2670	2407	4013	4010	496	4010
10152	17971	18618	2671	2407	4024	4011	496	4011
10151	17970	18618	2671	2408	4012	4014	495	4014
10152	17971	18620	2671	2409	3999	4013	495	4013
10153	17972	18619	2670	2407	4013	4010	496	4010
10153	17971	18618	2669	2406	4014	4011	495	4011
10153	17971	18619	2669	2407	4002	4011	495	4011
10152	17972	18620	2672	2409	4011	4009	496	4009
10152	17972	18621	2672	2410	3998	4010	496	4010
10155	17973	18619	2669	2405	4027	4007	496	4007
10152	17971	18618	2671	2407	4024	4012	495	4012
10152	17971	18619	2671	2408	4012	4015	495	4015
10153	17972	18620	2670	2408	4001	4014	495	4014
10155	17973	18620	2669	2406	4014	4011	495	4011
10154	17972	18619	2669	2406	4014	4011	495	4011
10155	17973	18619	2669	2405	4027	4012	495	4012
10152	17971	18619	2671	2408	4012	4016	495	4016
10152	17972	18620	2672	2409	4011	4015	495	4015
10153	17973	18622	2671	2410	3987	4014	495	4014
10155	17973	18619	2669	2405	4027	4007	496	4007
10153	17972	18619	2670	2407	4013	4012	495	4012
10153	17972	18619	2670	2407	4013	4012	495	4012
10153	17972	18619	2670	2407	4013	4013	495	4013
10152	17971	18618	2671	2407	4024	4013	495	4013
10153	17971	18619	2669	2407	4002	4015	495	4015
10153	17972	18620	2670	2408	4001	4012	495	4012
10153	17971	18619	2669	2407	4002	4009	495	4009
10153	17972	18619	2670	2407	4013	4008	496	4008
10153	17972	18620	2670	2408	4001	4009	496	4009
10153	17972	18620	2670	2408	4001	4007	496	4007
10153	17972	18619	2670	2407	4013	4005	496	4005
10153	17971	18619	2669	2407	4002	4007	496	4007
10152	17971	18619	2671	2408	4012	4006	496	4006
10153	17973	18620	2671	2408	4012	4008	496	4008
10154	17973	18621	2670	2408	4001	4009	496	4009
10154	17973	18619	2670	2406	4025	4007	496	4007
10152	17971	18619	2671	2408	4012	4011	496	4011
10153	17972	18620	2670	2408	4001	4011	495	4011
10153	17973	18621	2671	2409	3999	4009	496	4009
10154	17972	18618	2669	2405	4027	4006	496	4006
10152	17971	18619	2671	2408	4012	4012	495	4012
10153	17972	18620	2670	2408	4001	4012	495	4012
10154	17973	18620	2670	2407	4013	4009	496	4009
10152	17972	18620	2672	2409	4011	4010	496	4010
10152	17972	18620	2672	2409	4011	4010	496	4010
10154	17974	18621	2671	2408	4012	4010	496	4010
10154	17973	18619	2670	2406	4025	4011	495	4011
10153	17972	18619	2670	2407	4013	4014	495	4014
10153	17971	18619	2669	2407	4002	4014	495	4014
10153	17973	18621	2671	2409	3999	4011	496	4011
10154	17974	18622	2671	2409	3999	4008	496	4008
10154	17973	18620	2670	2407	4013	4006	496	4006
10154	17973	18620	2670	2407	4013	4008	496	4008
10153	17971	18619	2669	2407	4002	4009	495	4009
10153	17972	18620	2670	2408	4001	4007	496	4007
10153	17972	18620	2670	2408	4001	4006	496	4006
10153	17972	18620	2670	2408	4001	4004	496	4004
10154	17972	18619	2669	2406	4014	4004	496	4004
10152	17972	18620	2672	2409	4011	4006	496	4006
10153	17972	18619	2670	2407	4013	4007	496	4007
10153	17972	18620	2670	2408	4001	4009	496	4009
10153	17972	18619	2670	2407	4013	4007	496	4007
10153	17972	18619	2670	2407	4013	4008	496	4008
10153	17973	18620	2671	2408	4012	4010	496	4010
10153	17972	18620	2670	2408	4001	4010	496	4010
10154	17973	18620	2670	2407	4013	4008	496	4008
10153	17972	18620	2670	2408	4001	4009	496	4009
10154	17973	18620	2670	2407	4013	4007	496	4007
10154	17974	18620	2671	2407	4024	4009	496	4009
10153	17972	18619	2670	2407	4013	4012	495	4012
10154	17972	18619	2669	2406	4014	4013	495	4013
10153	17972	18620	2670	2408	4001	4013	495	4013
10153	17972	18620	2670	2408	4001	4010	496	4010
10153	17972	18620	2670	2408	4001	4008	496	4008
10153	17972	18620	2670	2408	4001	4006	496	4006
10154	17973	18620	2670	2407	4013	4005	496	4005
10154	17973	18619	2670	2406	4025	4007	496	4007
10153	17972	18619	2670	2407	4013	4011	495	4011
10153	17973	18621	2671	2409	3999	4012	495	4012
10154	17973	18620	2670	2407	4013	4008	496	4008
10153	17972	18619	2670	2407	4013	4010	496	4010
10154	17973	18620	2670	2407	4013	4010	496	4010
10154	17974	18621	2671	2408	4012	4011	496	4011
10152	17972	18619	2672	2408	4023	4011	496	4011
10153	17972	18619	2670	2407	4013	4014	495	4014
10153	17973	18620	2671	2408	4012	4014	495	4014
10153	17972	18619	2670	2407	4013	4014	495	4014
10153	17972	18619	2670	2407	4013	4013	495	4013
10153	17973	18621	2671	2409	3999	4013	495	4013
10154	17973	18619	2670	2406	4025	4010	496	4010
10153	17972	18619	2670	2407	4013	4014	495	4014
10154	17973	18620	2670	2407	4013	4013	495	4013
10153	17973	18620	2671	2408	4012	4013	495	4013
10154	17973	18620	2670	2407	4013	4013	495	4013
10154	17973	18620	2670	2407	4013	4013	495	4013
10154	17973	18620	2670	2407	4013	4013	495	4013
10154	17973	18620	2670	2407	4013	4013	495	4013
10154	17973	18620	2670	2407	4013	4013	495	4013
10153	17972	18
